=== SMELL DETAIL REPORT — Milestone 4 ===
Release  : 4.1.1
Generated: 2026-07-15
Selection: G=7, X=7 mod 5=2, case 2 (first+2 and last-2)
Ranked classes after filters: 602

================================================================================
CLASS A (rank 3, first+2):
  Path   : openjpa-kernel/src/main/java/org/apache/openjpa/kernel/BrokerImpl.java
  LOC    : 5510
  Nsmells: 1576

  #      Rule                                           Category                Lines       Message
  --------------------------------------------------------------------------------------------------------------------------------------------
  1      ExcessiveImports                               Design                  19-5510     A high number of imports can indicate a high degree of coupling within an object.
  1161   MethodArgumentCouldBeFinal                     Code Style              3907        Parameter 'fetch' is not assigned and could be declared final
  1162   MethodArgumentCouldBeFinal                     Code Style              3907        Parameter 'ignoreChanges' is not assigned and could be declared final
  1163   LocalVariableCouldBeFinal                      Code Style              3908        Local variable 'extent' could be declared final
  1164   MethodArgumentCouldBeFinal                     Code Style              3914        Parameter 'lang' is not assigned and could be declared final
  1165   MethodArgumentCouldBeFinal                     Code Style              3914        Parameter 'cls' is not assigned and could be declared final
  1166   MethodArgumentCouldBeFinal                     Code Style              3914        Parameter 'query' is not assigned and could be declared final
  1167   ShortVariable                                  Code Style              3915        Avoid variables with short names like q
  1168   LocalVariableCouldBeFinal                      Code Style              3915        Local variable 'q' could be declared final
  1169   CyclomaticComplexity                           Design                  3921        The method 'newQuery(String, Object)' has a cyclomatic complexity of 14.
  1170   MethodArgumentCouldBeFinal                     Code Style              3921        Parameter 'lang' is not assigned and could be declared final
  1171   MethodArgumentCouldBeFinal                     Code Style              3921        Parameter 'query' is not assigned and could be declared final
  1172   ControlStatementBraces                         Code Style              3924        This statement should have braces
  1173   ShortVariable                                  Code Style              3928        Avoid variables with short names like sq
  1174   ShortVariable                                  Code Style              3930        Avoid variables with short names like ep
  1175   LocalVariableCouldBeFinal                      Code Style              3930        Local variable 'ep' could be declared final
  1176   ControlStatementBraces                         Code Style              3932        This statement should have braces
  1177   ControlStatementBraces                         Code Style              3934        This statement should have braces
  1178   ControlStatementBraces                         Code Style              3936        This statement should have braces
  1179   ShortVariable                                  Code Style              3939        Avoid variables with short names like q
  1180   LocalVariableCouldBeFinal                      Code Style              3939        Local variable 'q' could be declared final
  1181   ControlStatementBraces                         Code Style              3942        This statement should have braces
  1182   ControlStatementBraces                         Code Style              3946        This statement should have braces
  1183   AvoidRethrowingException                       Design                  3949-3951   A catch statement that catches an exception only to rethrow it should be avoided.
  1184   AvoidCatchingGenericException                  Design                  3951        Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in tr...
  1185   MethodArgumentCouldBeFinal                     Code Style              3961        Parameter 'lang' is not assigned and could be declared final
  1186   ShortVariable                                  Code Style              3961        Avoid variables with short names like sq
  1187   MethodArgumentCouldBeFinal                     Code Style              3961        Parameter 'sq' is not assigned and could be declared final
  1188   MethodArgumentCouldBeFinal                     Code Style              3966        Parameter 'meta' is not assigned and could be declared final
  1189   OnlyOneReturn                                  Code Style              3968        A method should have only one exit point, and that should be the last statement in the method
  1190   ControlStatementBraces                         Code Style              3968        This statement should have braces
  1191   MethodArgumentCouldBeFinal                     Code Style              3973        Parameter 'fmd' is not assigned and could be declared final
  1192   OnlyOneReturn                                  Code Style              3975        A method should have only one exit point, and that should be the last statement in the method
  1193   ControlStatementBraces                         Code Style              3975        This statement should have braces
  1194   CognitiveComplexity                            Design                  3982        The method 'getSequence(ClassMetaData, FieldMetaData)' has a cognitive complexity of 16, current ...
  1195   CyclomaticComplexity                           Design                  3982        The method 'getSequence(ClassMetaData, FieldMetaData)' has a cyclomatic complexity of 12.
  1196   MethodArgumentCouldBeFinal                     Code Style              3982        Parameter 'meta' is not assigned and could be declared final
  1197   MethodArgumentCouldBeFinal                     Code Style              3982        Parameter 'fmd' is not assigned and could be declared final
  1198   LocalVariableCouldBeFinal                      Code Style              3984        Local variable 'strategy' could be declared final
  1199   ControlStatementBraces                         Code Style              3986        This statement should have braces
  1200   ControlStatementBraces                         Code Style              3988        This statement should have braces
  1201   OnlyOneReturn                                  Code Style              3993        A method should have only one exit point, and that should be the last statement in the method
  1202   OnlyOneReturn                                  Code Style              3995        A method should have only one exit point, and that should be the last statement in the method
  1203   OnlyOneReturn                                  Code Style              3997        A method should have only one exit point, and that should be the last statement in the method
  1204   OnlyOneReturn                                  Code Style              3999        A method should have only one exit point, and that should be the last statement in the method
  1205   OnlyOneReturn                                  Code Style              4004        A method should have only one exit point, and that should be the last statement in the method
  1206   LocalVariableCouldBeFinal                      Code Style              4015        Local variable 'pks' could be declared final
  1207   OnlyOneReturn                                  Code Style              4023        A method should have only one exit point, and that should be the last statement in the method
  1208   OnlyOneReturn                                  Code Style              4025        A method should have only one exit point, and that should be the last statement in the method
  1209   MethodArgumentCouldBeFinal                     Code Style              4037        Parameter 'obj' is not assigned and could be declared final
  1210   MethodArgumentCouldBeFinal                     Code Style              4037        Parameter 'call' is not assigned and could be declared final
  1211   ControlStatementBraces                         Code Style              4039        This statement should have braces
  1212   MethodArgumentCouldBeFinal                     Code Style              4050        Parameter 'obj' is not assigned and could be declared final
  1213   MethodArgumentCouldBeFinal                     Code Style              4050        Parameter 'level' is not assigned and could be declared final
  1214   MethodArgumentCouldBeFinal                     Code Style              4050        Parameter 'timeout' is not assigned and could be declared final
  1215   MethodArgumentCouldBeFinal                     Code Style              4050        Parameter 'call' is not assigned and could be declared final
  1216   OnlyOneReturn                                  Code Style              4052        A method should have only one exit point, and that should be the last statement in the method
  1217   ControlStatementBraces                         Code Style              4052        This statement should have braces
  1218   ShortVariable                                  Code Style              4058        Avoid variables with short names like sm
  1219   LocalVariableCouldBeFinal                      Code Style              4058        Local variable 'sm' could be declared final
  1220   LawOfDemeter                                   Design                  4060        Access to field `ACT_RUN` on foreign value `OpCallbacks` (degree 1)
  1221   OnlyOneReturn                                  Code Style              4061        A method should have only one exit point, and that should be the last statement in the method
  1222   ControlStatementBraces                         Code Style              4061        This statement should have braces
  1223   ControlStatementBraces                         Code Style              4063        This statement should have braces
  1224   AvoidRethrowingException                       Design                  4067-4069   A catch statement that catches an exception only to rethrow it should be avoided.
  1225   AvoidCatchingGenericException                  Design                  4069        Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in tr...
  1226   MethodArgumentCouldBeFinal                     Code Style              4077        Parameter 'objs' is not assigned and could be declared final
  1227   MethodArgumentCouldBeFinal                     Code Style              4077        Parameter 'call' is not assigned and could be declared final
  1228   ControlStatementBraces                         Code Style              4079        This statement should have braces
  1229   CyclomaticComplexity                           Design                  4091        The method 'lockAll(Collection, int, int, OpCallbacks)' has a cyclomatic complexity of 13.
  1230   MethodArgumentCouldBeFinal                     Code Style              4091        Parameter 'objs' is not assigned and could be declared final
  1231   MethodArgumentCouldBeFinal                     Code Style              4091        Parameter 'level' is not assigned and could be declared final
  1232   MethodArgumentCouldBeFinal                     Code Style              4091        Parameter 'timeout' is not assigned and could be declared final
  1233   MethodArgumentCouldBeFinal                     Code Style              4092        Parameter 'call' is not assigned and could be declared final
  1234   OnlyOneReturn                                  Code Style              4094        A method should have only one exit point, and that should be the last statement in the method
  1235   ControlStatementBraces                         Code Style              4094        This statement should have braces
  1236   AvoidLiteralsInIfCondition                     Error Prone             4095        Avoid using literals in if statements
  1237   LooseCoupling                                  Best Practices          4104        Avoid using implementation types like 'Collection'; use the interface instead
  1238   LocalVariableCouldBeFinal                      Code Style              4104        Local variable 'sms' could be declared final
  1239   ShortVariable                                  Code Style              4106        Avoid variables with short names like sm
  1240   LocalVariableCouldBeFinal                      Code Style              4107        Local variable 'o' could be declared final
  1241   ControlStatementBraces                         Code Style              4110        This statement should have braces
  1242   LawOfDemeter                                   Design                  4114        Access to field `ACT_RUN` on foreign value `OpCallbacks` (degree 1)
  1243   ControlStatementBraces                         Code Style              4115        This statement should have braces
  1244   ControlStatementBraces                         Code Style              4117        This statement should have braces
  1245   LocalVariableCouldBeFinal                      Code Style              4121        Local variable 'stateManager' could be declared final
  1246   AvoidRethrowingException                       Design                  4124-4126   A catch statement that catches an exception only to rethrow it should be avoided.
  1247   AvoidCatchingGenericException                  Design                  4126        Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in tr...
  1248   ControlStatementBraces                         Code Style              4149        This statement should have braces
  1249   AvoidRethrowingException                       Design                  4151-4153   A catch statement that catches an exception only to rethrow it should be avoided.
  1250   AvoidCatchingGenericException                  Design                  4153        Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in tr...
  1251   ControlStatementBraces                         Code Style              4163        This statement should have braces
  1252   MethodArgumentCouldBeFinal                     Code Style              4245        Parameter 'order' is not assigned and could be declared final
  1253   LooseCoupling                                  Best Practices          4252        Avoid using implementation types like 'Collection'; use the interface instead
  1254   LooseCoupling                                  Best Practices          4259        Avoid using implementation types like 'Collection'; use the interface instead
  1255   OnlyOneReturn                                  Code Style              4262        A method should have only one exit point, and that should be the last statement in the method
  1256   LooseCoupling                                  Best Practices          4280        Avoid using implementation types like 'Collection'; use the interface instead
  1257   OnlyOneReturn                                  Code Style              4282        A method should have only one exit point, and that should be the last statement in the method
  1258   ControlStatementBraces                         Code Style              4282        This statement should have braces
  1259   LooseCoupling                                  Best Practices          4291        Avoid using implementation types like 'Collection'; use the interface instead
  1260   OnlyOneReturn                                  Code Style              4293        A method should have only one exit point, and that should be the last statement in the method
  1261   ControlStatementBraces                         Code Style              4293        This statement should have braces
  1262   ShortVariable                                  Code Style              4308        Avoid variables with short names like id
  1263   MethodArgumentCouldBeFinal                     Code Style              4308        Parameter 'id' is not assigned and could be declared final
  1264   ShortVariable                                  Code Style              4308        Avoid variables with short names like sm
  1265   MethodArgumentCouldBeFinal                     Code Style              4308        Parameter 'sm' is not assigned and could be declared final
  1266   MethodArgumentCouldBeFinal                     Code Style              4308        Parameter 'status' is not assigned and could be declared final
  1267   CommentDefaultAccessModifier                   Code Style              4341        Missing commented default access modifier on method 'addToTransaction(StateManagerImpl)'
  1268   ShortVariable                                  Code Style              4341        Avoid variables with short names like sm
  1269   MethodArgumentCouldBeFinal                     Code Style              4341        Parameter 'sm' is not assigned and could be declared final
  1270   ControlStatementBraces                         Code Style              4345        This statement should have braces
  1271   ControlStatementBraces                         Code Style              4350        This statement should have braces
  1272   CommentDefaultAccessModifier                   Code Style              4361        Missing commented default access modifier on method 'removeFromTransaction(StateManagerImpl)'
  1273   ShortVariable                                  Code Style              4361        Avoid variables with short names like sm
  1274   MethodArgumentCouldBeFinal                     Code Style              4361        Parameter 'sm' is not assigned and could be declared final
  1275   ControlStatementBraces                         Code Style              4367        This statement should have braces
  1276   ControlStatementBraces                         Code Style              4369        This statement should have braces
  1277   CommentDefaultAccessModifier                   Code Style              4380        Missing commented default access modifier on method 'setDirty(StateManagerImpl, boolean)'
  1278   CognitiveComplexity                            Design                  4380        The method 'setDirty(StateManagerImpl, boolean)' has a cognitive complexity of 28, current thresh...
  1279   CyclomaticComplexity                           Design                  4380        The method 'setDirty(StateManagerImpl, boolean)' has a cyclomatic complexity of 15.
  1280   NPathComplexity                                Design                  4380        The method 'setDirty(StateManagerImpl, boolean)' has an NPath complexity of 312, current threshol...
  1281   ShortVariable                                  Code Style              4380        Avoid variables with short names like sm
  1282   MethodArgumentCouldBeFinal                     Code Style              4380        Parameter 'sm' is not assigned and could be declared final
  1283   MethodArgumentCouldBeFinal                     Code Style              4380        Parameter 'firstDirty' is not assigned and could be declared final
  1284   ControlStatementBraces                         Code Style              4382        This statement should have braces
  1285   ControlStatementBraces                         Code Style              4386        This statement should have braces
  1286   ControlStatementBraces                         Code Style              4395        This statement should have braces
  1287   ControlStatementBraces                         Code Style              4401        This statement should have braces
  1288   ControlStatementBraces                         Code Style              4405        This statement should have braces
  1289   ControlStatementBraces                         Code Style              4409        This statement should have braces
  1290   ControlStatementBraces                         Code Style              4418        This statement should have braces
  1291   CommentDefaultAccessModifier                   Code Style              4432        Missing commented default access modifier on method 'addToPendingTransaction(StateManagerImpl)'
  1292   ShortVariable                                  Code Style              4432        Avoid variables with short names like sm
  1293   MethodArgumentCouldBeFinal                     Code Style              4432        Parameter 'sm' is not assigned and could be declared final
  1294   ControlStatementBraces                         Code Style              4436        This statement should have braces
  1295   CommentDefaultAccessModifier                   Code Style              4447        Missing commented default access modifier on method 'removeFromPendingTransaction(StateManagerImpl)'
  1296   ShortVariable                                  Code Style              4447        Avoid variables with short names like sm
  1297   MethodArgumentCouldBeFinal                     Code Style              4447        Parameter 'sm' is not assigned and could be declared final
  1298   ControlStatementBraces                         Code Style              4451        This statement should have braces
  1299   ControlStatementBraces                         Code Style              4453        This statement should have braces
  1300   CommentDefaultAccessModifier                   Code Style              4463        Missing commented default access modifier on method 'addDereferencedDependent(StateManagerImpl)'
  1301   ShortVariable                                  Code Style              4463        Avoid variables with short names like sm
  1302   MethodArgumentCouldBeFinal                     Code Style              4463        Parameter 'sm' is not assigned and could be declared final
  1303   ConfusingTernary                               Code Style              4468-4476   Avoid if (x != y) ..; else ..;
  1304   ControlStatementBraces                         Code Style              4470        This statement should have braces
  1305   ControlStatementBraces                         Code Style              4474        This statement should have braces
  1306   CommentDefaultAccessModifier                   Code Style              4487        Missing commented default access modifier on method 'removeDereferencedDependent(StateManagerImpl)'
  1307   ShortVariable                                  Code Style              4487        Avoid variables with short names like sm
  1308   MethodArgumentCouldBeFinal                     Code Style              4487        Parameter 'sm' is not assigned and could be declared final
  1309   ControlStatementBraces                         Code Style              4492        This statement should have braces
  1310   ControlStatementBraces                         Code Style              4494-4497   This statement should have braces
  1311   MethodArgumentCouldBeFinal                     Code Style              4504        Parameter 'cls' is not assigned and could be declared final
  1312   ControlStatementBraces                         Code Style              4506        This statement should have braces
  1313   ControlStatementBraces                         Code Style              4511        This statement should have braces
  1314   OnlyOneReturn                                  Code Style              4521        A method should have only one exit point, and that should be the last statement in the method
  1315   ControlStatementBraces                         Code Style              4521        This statement should have braces
  1316   OnlyOneReturn                                  Code Style              4528        A method should have only one exit point, and that should be the last statement in the method
  1317   ControlStatementBraces                         Code Style              4528        This statement should have braces
  1318   OnlyOneReturn                                  Code Style              4535        A method should have only one exit point, and that should be the last statement in the method
  1319   ControlStatementBraces                         Code Style              4535        This statement should have braces
  1320   ControlStatementBraces                         Code Style              4559        This statement should have braces
  1321   ControlStatementBraces                         Code Style              4566        This statement should have braces
  1322   CognitiveComplexity                            Design                  4575        The method 'free()' has a cognitive complexity of 21, current threshold is 15
  1323   CyclomaticComplexity                           Design                  4575        The method 'free()' has a cyclomatic complexity of 16.
  1324   NPathComplexity                                Design                  4575        The method 'free()' has an NPath complexity of 2304, current threshold is 200
  1325   AvoidCatchingGenericException                  Design                  4580        Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in tr...
  1326   NullAssignment                                 Error Prone             4585        Assigning an Object to null is a code smell.  Consider refactoring.
  1327   NullAssignment                                 Error Prone             4586        Assigning an Object to null is a code smell.  Consider refactoring.
  1328   NullAssignment                                 Error Prone             4588        Assigning an Object to null is a code smell.  Consider refactoring.
  1329   NullAssignment                                 Error Prone             4589        Assigning an Object to null is a code smell.  Consider refactoring.
  1330   NullAssignment                                 Error Prone             4590        Assigning an Object to null is a code smell.  Consider refactoring.
  1331   NullAssignment                                 Error Prone             4591        Assigning an Object to null is a code smell.  Consider refactoring.
  1332   NullAssignment                                 Error Prone             4592        Assigning an Object to null is a code smell.  Consider refactoring.
  1333   NullAssignment                                 Error Prone             4593        Assigning an Object to null is a code smell.  Consider refactoring.
  1334   NullAssignment                                 Error Prone             4594        Assigning an Object to null is a code smell.  Consider refactoring.
  1335   NullAssignment                                 Error Prone             4595        Assigning an Object to null is a code smell.  Consider refactoring.
  1336   NullAssignment                                 Error Prone             4596        Assigning an Object to null is a code smell.  Consider refactoring.
  1337   NullAssignment                                 Error Prone             4604        Assigning an Object to null is a code smell.  Consider refactoring.
  1338   NullAssignment                                 Error Prone             4605        Assigning an Object to null is a code smell.  Consider refactoring.
  1339   LocalVariableCouldBeFinal                      Code Style              4608        Local variable 'itr' could be declared final
  1340   EmptyCatchBlock                                Error Prone             4611-4612   Avoid empty catch blocks
  1341   AvoidCatchingGenericException                  Design                  4611        Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in tr...
  1342   NullAssignment                                 Error Prone             4614        Assigning an Object to null is a code smell.  Consider refactoring.
  1343   ShortVariable                                  Code Style              4618        Avoid variables with short names like e
  1344   LocalVariableCouldBeFinal                      Code Style              4619        Local variable 'extent' could be declared final
  1345   EmptyCatchBlock                                Error Prone             4624-4625   Avoid empty catch blocks
  1346   AvoidCatchingGenericException                  Design                  4624        Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in tr...
  1347   NullAssignment                                 Error Prone             4627        Assigning an Object to null is a code smell.  Consider refactoring.
  1348   EmptyCatchBlock                                Error Prone             4630        Avoid empty catch blocks
  1349   AvoidCatchingGenericException                  Design                  4630        Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in tr...
  1350   ControlStatementBraces                         Code Style              4640        This statement should have braces
  1351   ControlStatementBraces                         Code Style              4645        This statement should have braces
  1352   ControlStatementBraces                         Code Style              4655        This statement should have braces
  1353   ControlStatementBraces                         Code Style              4661        This statement should have braces
  1354   CyclomaticComplexity                           Design                  4669        The method 'newInstance(Class)' has a cyclomatic complexity of 10.
  1355   MethodArgumentCouldBeFinal                     Code Style              4669        Parameter 'cls' is not assigned and could be declared final
  1356   ControlStatementBraces                         Code Style              4673-4674   This statement should have braces
  1357   EmptyCatchBlock                                Error Prone             4682-4683   Avoid empty catch blocks
  1358   AvoidCatchingThrowable                         Error Prone             4682        A catch statement should never catch throwable since it includes errors.
  1359   ControlStatementBraces                         Code Style              4687-4688   This statement should have braces
  1360   LocalVariableCouldBeFinal                      Code Style              4693        Local variable 'iae' could be declared final
  1361   PreserveStackTrace                             Best Practices          4696        Thrown exception does not preserve the stack trace of exception 'ise' on all code paths
  1362   MethodArgumentCouldBeFinal                     Code Style              4701        Parameter 'obj' is not assigned and could be declared final
  1363   ShortVariable                                  Code Style              4704        Avoid variables with short names like pc
  1364   LocalVariableCouldBeFinal                      Code Style              4704        Local variable 'pc' could be declared final
  1365   OnlyOneReturn                                  Code Style              4709        A method should have only one exit point, and that should be the last statement in the method
  1366   OnlyOneReturn                                  Code Style              4711        A method should have only one exit point, and that should be the last statement in the method
  1367   ShortVariable                                  Code Style              4718        Avoid variables with short names like o
  1368   MethodArgumentCouldBeFinal                     Code Style              4718        Parameter 'o' is not assigned and could be declared final
  1369   OnlyOneReturn                                  Code Style              4721        A method should have only one exit point, and that should be the last statement in the method
  1370   ControlStatementBraces                         Code Style              4721        This statement should have braces
  1371   ShortVariable                                  Code Style              4723        Avoid variables with short names like sm
  1372   LocalVariableCouldBeFinal                      Code Style              4723        Local variable 'sm' could be declared final
  1373   OnlyOneReturn                                  Code Style              4725        A method should have only one exit point, and that should be the last statement in the method
  1374   ControlStatementBraces                         Code Style              4725        This statement should have braces
  1375   MethodArgumentCouldBeFinal                     Code Style              4730        Parameter 'obj' is not assigned and could be declared final
  1376   OnlyOneReturn                                  Code Style              4733        A method should have only one exit point, and that should be the last statement in the method
  1377   ControlStatementBraces                         Code Style              4733        This statement should have braces
  1378   UselessParentheses                             Code Style              4733        Useless parentheses.
  1379   MethodArgumentCouldBeFinal                     Code Style              4738        Parameter 'obj' is not assigned and could be declared final
  1380   ShortVariable                                  Code Style              4741        Avoid variables with short names like pc
  1381   LocalVariableCouldBeFinal                      Code Style              4741        Local variable 'pc' could be declared final
  1382   OnlyOneReturn                                  Code Style              4742        A method should have only one exit point, and that should be the last statement in the method
  1383   MethodArgumentCouldBeFinal                     Code Style              4748        Parameter 'obj' is not assigned and could be declared final
  1384   OnlyOneReturn                                  Code Style              4751-4752   A method should have only one exit point, and that should be the last statement in the method
  1385   ControlStatementBraces                         Code Style              4751-4752   This statement should have braces
  1386   UselessParentheses                             Code Style              4751        Useless parentheses.
  1387   MethodArgumentCouldBeFinal                     Code Style              4757        Parameter 'obj' is not assigned and could be declared final
  1388   OnlyOneReturn                                  Code Style              4760-4761   A method should have only one exit point, and that should be the last statement in the method
  1389   ControlStatementBraces                         Code Style              4760-4761   This statement should have braces
  1390   UselessParentheses                             Code Style              4760        Useless parentheses.
  1391   MethodArgumentCouldBeFinal                     Code Style              4766        Parameter 'obj' is not assigned and could be declared final
  1392   OnlyOneReturn                                  Code Style              4769        A method should have only one exit point, and that should be the last statement in the method
  1393   ControlStatementBraces                         Code Style              4769        This statement should have braces
  1394   UselessParentheses                             Code Style              4769        Useless parentheses.
  1395   MethodArgumentCouldBeFinal                     Code Style              4774        Parameter 'obj' is not assigned and could be declared final
  1396   OnlyOneReturn                                  Code Style              4777        A method should have only one exit point, and that should be the last statement in the method
  1397   ControlStatementBraces                         Code Style              4777        This statement should have braces
  1398   UselessParentheses                             Code Style              4777        Useless parentheses.
  1399   MethodArgumentCouldBeFinal                     Code Style              4781        Parameter 'obj' is not assigned and could be declared final
  1400   MethodArgumentCouldBeFinal                     Code Style              4793        Parameter 'obj' is not assigned and could be declared final
  1401   MethodArgumentCouldBeFinal                     Code Style              4793        Parameter 'find' is not assigned and could be declared final
  1402   UselessParentheses                             Code Style              4794        Useless parentheses.
  1403   OnlyOneReturn                                  Code Style              4795        A method should have only one exit point, and that should be the last statement in the method
  1404   ControlStatementBraces                         Code Style              4795        This statement should have braces
  1405   ShortVariable                                  Code Style              4797        Avoid variables with short names like pc
  1406   LocalVariableCouldBeFinal                      Code Style              4797        Local variable 'pc' could be declared final
  1407   OnlyOneReturn                                  Code Style              4799        A method should have only one exit point, and that should be the last statement in the method
  1408   ControlStatementBraces                         Code Style              4799        This statement should have braces
  1409   LocalVariableCouldBeFinal                      Code Style              4800        Local variable 'detached' could be declared final
  1410   OnlyOneReturn                                  Code Style              4802        A method should have only one exit point, and that should be the last statement in the method
  1411   ControlStatementBraces                         Code Style              4802        This statement should have braces
  1412   OnlyOneReturn                                  Code Style              4805        A method should have only one exit point, and that should be the last statement in the method
  1413   LocalVariableCouldBeFinal                      Code Style              4808        Local variable 'meta' could be declared final
  1414   LocalVariableCouldBeFinal                      Code Style              4809        Local variable 'oid' could be declared final
  1415   SimplifyBooleanReturns                         Design                  4810-4811   This if statement can be replaced by `return !{condition} || {elseBranch};`
  1416   OnlyOneReturn                                  Code Style              4811        A method should have only one exit point, and that should be the last statement in the method
  1417   ControlStatementBraces                         Code Style              4811        This statement should have braces
  1418   MethodArgumentCouldBeFinal                     Code Style              4817        Parameter 'obj' is not assigned and could be declared final
  1419   MethodArgumentCouldBeFinal                     Code Style              4828        Parameter 'obj' is not assigned and could be declared final
  1420   MethodArgumentCouldBeFinal                     Code Style              4829        Parameter 'assertThisContext' is not assigned and could be declared final
  1421   ShortVariable                                  Code Style              4831        Avoid variables with short names like pc
  1422   LocalVariableCouldBeFinal                      Code Style              4831        Local variable 'pc' could be declared final
  1423   LocalVariableCouldBeFinal                      Code Style              4832        Local variable 'pcBroker' could be declared final
  1424   CompareObjectsWithEquals                       Error Prone             4833        Use equals() to compare object references.
  1425   OnlyOneReturn                                  Code Style              4834        A method should have only one exit point, and that should be the last statement in the method
  1426   ControlStatementBraces                         Code Style              4834        This statement should have braces
  1427   ControlStatementBraces                         Code Style              4836-4837   This statement should have braces
  1428   MethodArgumentCouldBeFinal                     Code Style              4850        Parameter 'oid' is not assigned and could be declared final
  1429   MethodArgumentCouldBeFinal                     Code Style              4851        Parameter 'allowNew' is not assigned and could be declared final
  1430   MethodArgumentCouldBeFinal                     Code Style              4859        Parameter 'obj' is not assigned and could be declared final
  1431   OnlyOneReturn                                  Code Style              4861        A method should have only one exit point, and that should be the last statement in the method
  1432   ControlStatementBraces                         Code Style              4861        This statement should have braces
  1433   ControlStatementBraces                         Code Style              4863        This statement should have braces
  1434   LocalVariableCouldBeFinal                      Code Style              4867        Local variable 'intfs' could be declared final
  1435   ControlStatementBraces                         Code Style              4897-4898   This statement should have braces
  1436   ShortVariable                                  Code Style              4900        Avoid variables with short names like e
  1437   LocalVariableCouldBeFinal                      Code Style              4900        Local variable 'e' could be declared final
  1438   ControlStatementBraces                         Code Style              4911        This statement should have braces
  1439   ControlStatementBraces                         Code Style              4920        This statement should have braces
  1440   ControlStatementBraces                         Code Style              4926        This statement should have braces
  1441   ControlStatementBraces                         Code Style              4933        This statement should have braces
  1442   UnusedPrivateMethod                            Best Practices          4940        Avoid unused private methods such as 'newObjectNotFoundException(Collection)'.
  1443   LooseCoupling                                  Best Practices          4941        Avoid using implementation types like 'Collection'; use the interface instead
  1444   MethodArgumentCouldBeFinal                     Code Style              4941        Parameter 'failed' is not assigned and could be declared final
  1445   ShortVariable                                  Code Style              4942        Avoid variables with short names like t
  1446   LocalVariableCouldBeFinal                      Code Style              4942        Local variable 't' could be declared final
  1447   ControlStatementBraces                         Code Style              4944-4945   This statement should have braces
  1448   LocalVariableCouldBeFinal                      Code Style              4944        Local variable 'itr' could be declared final
  1449   MethodArgumentCouldBeFinal                     Code Style              4954        Parameter 'oid' is not assigned and could be declared final
  1450   ShortVariable                                  Code Style              4959        Avoid variables with short names like sm
  1451   MethodArgumentCouldBeFinal                     Code Style              4959        Parameter 'sm' is not assigned and could be declared final
  1452   MethodArgumentCouldBeFinal                     Code Style              4963        Parameter 'out' is not assigned and could be declared final
  1453   ControlStatementBraces                         Code Style              4969-4970   This statement should have braces
  1454   ControlStatementBraces                         Code Style              4972-4973   This statement should have braces
  1455   ControlStatementBraces                         Code Style              4975-4976   This statement should have braces
  1456   UnusedAssignment                               Best Practices          4980        The value assigned to field '_isSerializing' is never used (overwritten on line 4984)
  1457   ShortVariable                                  Code Style              4991        Avoid variables with short names like in
  1458   MethodArgumentCouldBeFinal                     Code Style              4991        Parameter 'in' is not assigned and could be declared final
  1459   LocalVariableCouldBeFinal                      Code Style              4993        Local variable 'factoryKey' could be declared final
  1460   LocalVariableCouldBeFinal                      Code Style              4994        Local variable 'factory' could be declared final
  1461   ControlStatementBraces                         Code Style              5014        This statement should have braces
  1462   CommentDefaultAccessModifier                   Code Style              5022        Missing commented default access modifier on method 'isSerializing()'
